CommandLine,ComputerName,EncBlob,FileName,FirstSeen,Hits,LastSeen,ParentBaseFileName,Reason,SampleDecodedCmd,SampleDomains,SampleRemotes,Severity,UserName,Verdict
"""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" -Version 5.1 -s -NoLogo -NoProfile -EncodedCommand UwBlAHQALQBMAG8AYwBhAHQAaQBvAG4AIAAnAEMAOgBcACcA",WIN-2JEFP5T5FQ8,UwBlAHQALQBMAG8AYwBhAHQAaQBvAG4AIAAnAEMAOgBcACcA,powershell.exe,2026-04-11 08:06:21,598,2026-04-12 08:06:11,dllhost.exe,"Decoded command trivial (Set-Location), likely benign automation",Set-Location 'C:\',"reza.local, 241.30.168.192.in-addr.arpa., WIN-2JEFP5T5FQ8, _ldap._tcp.WIN-2JEFP5T5FQ8.reza.local., _ldap._tcp.Default-First-Site-Name._sites.WIN-2JEFP5T5FQ8.reza.local., _ldap._tcp.dc._msdcs.reza.local., WIN-2JEFP5T5FQ8.reza.local, kms-default.cangshui.net, kms.03k.org, ecs.office.com","192.168.30.19537861, 52.168.117.175443, 54.67.26.184443, 57.155.142.113443, 20.189.173.13443, 169.254.169.25480, 20.50.201.201443, 20.42.73.25443, 74.178.240.51443, 92.223.116.25280, 51.11.192.49443, 57.155.142.104443, 172.184.231.68443, 20.190.144.166443, 52.123.252.34443",LOW,WIN-2JEFP5T5FQ8$,LIKELY FALSE POSITIVE
"""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" -Version 5.1 -s -NoLogo -NoProfile -EncodedCommand UwBlAHQALQBMAG8AYwBhAHQAaQBvAG4AIAAnAEMAOgBcACcA",DLPEP,UwBlAHQALQBMAG8AYwBhAHQAaQBvAG4AIAAnAEMAOgBcACcA,powershell.exe,2026-04-11 08:09:04,601,2026-04-12 08:05:55,dllhost.exe,"Decoded command trivial (Set-Location), likely benign automation",Set-Location 'C:\',"DLPEP, 1.0.0.127.in-addr.arpa., login.live.com, kms.moeyuuko.com, kms-default.cangshui.net, kms.ghxi.com, _ldap._tcp.dc._msdcs.WORKGROUP, kms.moeyuuko.top, kms.03k.org, config.edge.skype.com","192.168.30.56137, 192.168.30.5137, 192.168.30.10137, 192.168.30.77137, 192.168.30.87137, 52.123.252.34443, 13.89.179.14443, 52.182.143.208443, 51.104.15.252443, 52.167.249.196443, 52.185.211.133443, 20.189.173.14443, 51.132.193.105443, 51.11.168.232443, 13.89.178.27443",LOW,DLPEP$,LIKELY FALSE POSITIVE
"""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" -Version 5.1 -s -NoLogo -NoProfile -EncodedCommand UwBlAHQALQBMAG8AYwBhAHQAaQBvAG4AIAAnAEMAOgBcACcA",DLPFSM,UwBlAHQALQBMAG8AYwBhAHQAaQBvAG4AIAAnAEMAOgBcACcA,powershell.exe,2026-04-11 08:09:04,604,2026-04-12 08:05:55,dllhost.exe,"Decoded command trivial (Set-Location), likely benign automation",Set-Location 'C:\',"login.live.com, ecs.office.com, kms.moeyuuko.com, kms-default.cangshui.net, kms.ghxi.com, _ldap._tcp.dc._msdcs.WORKGROUP, kms.moeyuuko.top, kms.03k.org, safebrowsing.brave.com, config.edge.skype.com","184.33.146.150443, 13.226.2.111443, 44.239.42.41443, 44.228.133.140443, 52.42.183.1443, 18.67.175.17443, 1.1.1.153, 172.64.41.3443, 52.167.17.97443, 13.71.55.58443, 104.208.16.95443, 52.183.220.149443, 13.89.179.14443, 52.167.249.196443, 20.189.173.24443",LOW,DLPFSM$,LIKELY FALSE POSITIVE
"""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" -Version 5.1 -s -NoLogo -NoProfile -EncodedCommand UwBlAHQALQBMAG8AYwBhAHQAaQBvAG4AIAAnAEMAOgBcACcA",ABSENSI_WIN10,UwBlAHQALQBMAG8AYwBhAHQAaQBvAG4AIAAnAEMAOgBcACcA,powershell.exe,2026-04-11 08:07:10,557,2026-04-12 08:05:54,dllhost.exe,"Decoded command trivial (Set-Location), likely benign automation",Set-Location 'C:\',"time.windows.com, c.pki.goog, oneocsp.microsoft.com, prod.client.wosc.services.microsoft.com, chrome.cloudflare-dns.com, default.exp-tas.com, update.googleapis.com, storeedge.microsoft.com, arc.msn.com, updates.bravesoftware.com","20.106.86.13443, 52.123.252.24443, 40.79.141.155443, 20.72.205.209443, 13.71.55.58443, 20.189.173.11443, 150.171.27.11443, 52.123.252.23443, 23.54.155.14280, 52.191.219.104443, 20.44.10.122443, 40.119.249.228443, 52.183.220.149443, 40.79.173.40443, 51.11.168.232443",LOW,ABSENSI_WIN10$,LIKELY FALSE POSITIVE
"""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" -Version 5.1 -s -NoLogo -NoProfile -EncodedCommand UwBlAHQALQBMAG8AYwBhAHQAaQBvAG4AIAAnAEMAOgBcACcA",ACCURATE-SERVER,UwBlAHQALQBMAG8AYwBhAHQAaQBvAG4AIAAnAEMAOgBcACcA,powershell.exe,2026-04-11 08:07:09,555,2026-04-12 08:05:54,dllhost.exe,"Decoded command trivial (Set-Location), likely benign automation",Set-Location 'C:\',"storeedge.microsoft.com, time.windows.com, x1.c.lencr.org, inference.location.live.net, updates.bravesoftware.com, ecs.office.com, oneclient.sfx.ms, g.live.com, incoming.telemetry.mozilla.org, telemetry-incoming.r53-2.services.mozilla.com","23.33.184.243443, 13.107.253.59443, 239.255.255.2501900, 51.116.246.104443, 52.168.117.169443, 40.119.249.228443, 20.99.185.48443, 40.74.79.222443, 40.79.173.41443, 20.42.72.131443, 52.167.249.196443, 52.168.112.67443, 52.168.117.175443, 52.183.220.149443, 104.208.16.95443",LOW,ACCURATE-SERVER$,LIKELY FALSE POSITIVE
"""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" -Version 5.1 -s -NoLogo -NoProfile -EncodedCommand UwBlAHQALQBMAG8AYwBhAHQAaQBvAG4AIAAnAEMAOgBcACcA",ASUS-RYAN,UwBlAHQALQBMAG8AYwBhAHQAaQBvAG4AIAAnAEMAOgBcACcA,powershell.exe,2026-04-12 06:45:08,41,2026-04-12 08:05:54,dllhost.exe,"Decoded command trivial (Set-Location), likely benign automation",Set-Location 'C:\',"aefd.nelreports.net, searchapp.bundleassets.example, analytics.apis.mcafee.com, sadownload.mcafee.com, inference.location.live.net, oneocsp.microsoft.com, ASUS-Ryan, ecs.office.com, services.gfe.nvidia.com, ASUS-RYAN","108.138.141.97443, 146.75.46.217443, 13.35.1.50443, 103.47.134.3721291, 18.97.36.56443, 10.184.164.217137, 10.147.19.93137, 103.121.170.18758962, 104.46.162.227443, 74.125.130.101443, 51.116.246.104443, 74.125.130.149443, 216.239.34.21443, 114.4.168.233443, 103.121.170.18714185",LOW,ASUS-RYAN$,LIKELY FALSE POSITIVE
"""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" -Version 5.1 -s -NoLogo -NoProfile -EncodedCommand UwBlAHQALQBMAG8AYwBhAHQAaQBvAG4AIAAnAEMAOgBcACcA",ASUS-VALENT,UwBlAHQALQBMAG8AYwBhAHQAaQBvAG4AIAAnAEMAOgBcACcA,powershell.exe,2026-04-11 15:35:56,229,2026-04-12 08:05:54,dllhost.exe,"Decoded command trivial (Set-Location), likely benign automation",Set-Location 'C:\',"ocsp.digicert.com, variations.brave.com, ecs.office.com, seraphimdigital.sharepoint.com, media.fcgk33-1.fna.whatsapp.net, star-randsrv.bsg.brave.com, updates.discord.com, powerpointonline.nel.measure.office.net, safebrowsing.brave.com, update.googleapis.com","20.189.173.7443, 52.108.36.34443, 40.74.79.222443, 224.0.0.220, 239.255.102.1850003, 224.0.0.2525355, 20.50.201.201443, 255.255.255.25567, 72.154.7.105443, 23.39.232.32443, 239.255.102.1850002, 239.255.255.2501900, 13.89.179.8443, 192.168.100.2087680, 72.145.35.98443",LOW,ASUS-VALENT$,LIKELY FALSE POSITIVE
"""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" -Version 5.1 -s -NoLogo -NoProfile -EncodedCommand UwBlAHQALQBMAG8AYwBhAHQAaQBvAG4AIAAnAEMAOgBcACcA",FILBI,UwBlAHQALQBMAG8AYwBhAHQAaQBvAG4AIAAnAEMAOgBcACcA,powershell.exe,2026-04-11 08:51:02,166,2026-04-12 08:05:54,dllhost.exe,"Decoded command trivial (Set-Location), likely benign automation",Set-Location 'C:\',"update.googleapis.com, www.google.com, gx-target-experiments-frontend-api.gx.nvidia.com, gfwsl.geforce.com, img.nvidiagrid.net, images.nvidia.com, ops-gx.nvidia.com, public.games.geforce.com, login.nvidia.com, accounts.google.com","52.191.219.104443, 20.190.148.164443, 92.223.76.25480, 54.67.6.201443, 54.241.183.232443, 72.153.5.97443, 23.39.234.56443, 118.98.113.22680, 40.119.249.228443, 54.67.119.89443, 4.230.171.124443, 51.104.15.253443, 52.182.143.214443, 54.241.197.58443, 72.153.5.137443",LOW,FILBI$,LIKELY FALSE POSITIVE
"""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" -Version 5.1 -s -NoLogo -NoProfile -EncodedCommand UwBlAHQALQBMAG8AYwBhAHQAaQBvAG4AIAAnAEMAOgBcACcA",RAFLI-PC,UwBlAHQALQBMAG8AYwBhAHQAaQBvAG4AIAAnAEMAOgBcACcA,powershell.exe,2026-04-11 09:03:59,65,2026-04-12 08:05:54,dllhost.exe,"Decoded command trivial (Set-Location), likely benign automation",Set-Location 'C:\',"onedriveclucprodbn20007.blob.core.windows.net, onedriveclucprodbn20017.blob.core.windows.net, storage.live.com, sadownload.mcafee.com, desktop-dna.osp.opera.software, ecs.office.com, clientservices.googleapis.com, translate-pa.googleapis.com, a-nrzh6.data.emb-api.com, www.google.com","239.255.255.2501900, 10.64.211.255138, 224.0.0.2525355, 10.64.211.255137, 10.64.211.15753, 255.255.255.25567, 90.255.255.255138, 224.0.0.220, 192.168.153.255138, 239.255.255.2503702, 192.168.88.5443, 54.241.197.58443, 90.0.0.9053, 8.8.8.853, 192.168.153.14553",LOW,RAFLI-PC$,LIKELY FALSE POSITIVE
"""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" -s -NoLogo -NoProfile -EncodedCommand UwBlAHQALQBMAG8AYwBhAHQAaQBvAG4AIAAnAEMAOgBcACcA",WIN7X86LAB,UwBlAHQALQBMAG8AYwBhAHQAaQBvAG4AIAAnAEMAOgBcACcA,powershell.exe,2026-04-11 08:35:55,556,2026-04-12 08:05:54,dllhost.exe,"Decoded command trivial (Set-Location), likely benign automation",Set-Location 'C:\',updates.bravesoftware.com,"199.232.114.17280, 3.168.203.109443, 3.168.203.79443, 3.168.203.41443",LOW,WIN7X86LAB$,LIKELY FALSE POSITIVE
